priority,symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,date365dAgo,perChange30d,date30dAgo,chart365dPath,chart30dPath,chartTodayPath
0,PRUDENT,PRUDENTEQN,EQ,2574,2721.9,2514.05,2684.55,2574.15,110.4,4.29,30348,80693511.12,2847.05,1093.55,5.70766231713528,-145.48946092999867,103.11,19-Oct-2023,16.3,18-Sep-2024,https://nsearchives.nseindia.com/365d/PRUDENT-EQ.svg,https://nsearchives.nseindia.com/30d/PRUDENT-EQ.svg,https://nsearchives.nseindia.com/today/PRUDENTEQN.svg
0,POLYPLEX,POLYPLEXEQN,EQ,1112,1159.8,1089.25,1159.25,1113.3,45.95,4.13,172900,196168882,1375,751.65,15.690909090909091,-54.22736646045367,1.86,19-Oct-2023,-3.8,18-Sep-2024,https://nsearchives.nseindia.com/365d/POLYPLEX-EQ.svg,https://nsearchives.nseindia.com/30d/POLYPLEX-EQ.svg,https://nsearchives.nseindia.com/today/POLYPLEXEQN.svg
0,PGEL,PGELEQN,EQ,591.7,632.9,574.1,616.8,593.55,23.25,3.92,1688155,1036645340.8500001,694,146.71,11.123919308357355,-320.4212391793333,-69.2,19-Oct-2023,-3.64,18-Sep-2024,https://nsearchives.nseindia.com/365d/PGEL-EQ.svg,https://nsearchives.nseindia.com/30d/PGEL-EQ.svg,https://nsearchives.nseindia.com/today/PGELEQN.svg
0,PURVA,PURVAEQN,EQ,398,427.45,391.35,423,407.2,15.8,3.88,94002,39352057.26,569.6,126.8,25.7373595505618,-233.596214511041,189.01,19-Oct-2023,-,-,https://nsearchives.nseindia.com/365d/PURVA-EQ.svg,-,https://nsearchives.nseindia.com/today/PURVAEQN.svg
0,NETWEB,NETWEBEQN,EQ,2580.2,2698,2489.95,2685,2584.75,100.25,3.88,217447,568339049.4300001,2925,738.6,8.205128205128204,-263.5255889520715,199.69,19-Oct-2023,0.1,18-Sep-2024,https://nsearchives.nseindia.com/365d/NETWEB-EQ.svg,https://nsearchives.nseindia.com/30d/NETWEB-EQ.svg,https://nsearchives.nseindia.com/today/NETWEBEQN.svg
0,HONAUT,HONAUTEQN,EQ,49600,51850,49120.1,51450,49569.15,1880.85,3.79,8957,454540879,59994,34977.7,14.24142414241424,-47.093719712845626,37.88,19-Oct-2023,4.1,18-Sep-2024,https://nsearchives.nseindia.com/365d/HONAUT-EQ.svg,https://nsearchives.nseindia.com/30d/HONAUT-EQ.svg,https://nsearchives.nseindia.com/today/HONAUTEQN.svg
0,PAYTM,PAYTMEQN,EQ,690.15,729.9,670.4,722.55,696.15,26.4,3.79,10913448,7713188508.48,998.3,310,27.621957327456677,-133.0806451612903,-25.12,19-Oct-2023,8,18-Sep-2024,https://nsearchives.nseindia.com/365d/PAYTM-EQ.svg,https://nsearchives.nseindia.com/30d/PAYTM-EQ.svg,https://nsearchives.nseindia.com/today/PAYTMEQN.svg
0,ZEEL,ZEELEQN,EQ,125,134.11,124.92,130.5,125.76,4.74,3.77,41149717,5379091006.24,299.7,124.92,56.45645645645646,-4.466858789625358,-48.96,19-Oct-2023,0.95,18-Sep-2024,https://nsearchives.nseindia.com/365d/ZEEL-EQ.svg,https://nsearchives.nseindia.com/30d/ZEEL-EQ.svg,https://nsearchives.nseindia.com/today/ZEELEQN.svg
0,JINDALSTEL,JINDALSTELEQN,EQ,929.8,973.2,923.7,965,930,35,3.76,2696607,2578549545.54,1097,581.6,12.03281677301732,-65.92159559834938,42.89,19-Oct-2023,-5.89,18-Sep-2024,https://nsearchives.nseindia.com/365d/JINDALSTEL-EQ.svg,https://nsearchives.nseindia.com/30d/JINDALSTEL-EQ.svg,https://nsearchives.nseindia.com/today/JINDALSTELEQN.svg
0,MCX,MCXEQN,EQ,6305,6605.95,6280.55,6575,6341.45,233.55,3.68,534592,3474543282.56,6605.95,2150,0.4685170187482469,-205.8139534883721,200.35,19-Oct-2023,12.98,18-Sep-2024,https://nsearchives.nseindia.com/365d/MCX-EQ.svg,https://nsearchives.nseindia.com/30d/MCX-EQ.svg,https://nsearchives.nseindia.com/today/MCXEQN.svg
