,Open,High,Low,Close,Volume
2023-11-07,24.4300,25.2000,24.4200,25.0400,17261
2023-11-08,25.2200,25.3700,24.9800,25.3200,5912
2023-11-09,25.3100,25.4400,25.0400,25.2000,13079
2023-11-10,25.5500,26.1790,25.4701,26.1500,112048
2023-11-13,26.0700,26.0700,25.6400,25.7700,8147
2023-11-14,26.2000,26.5400,26.2000,26.3600,26739
2023-11-15,26.5800,26.8801,26.4900,26.5800,18827
2023-11-16,26.9700,27.0900,26.7900,26.9800,22187
2023-11-17,26.9210,26.9800,26.7371,26.9700,18563
2023-11-20,26.9900,27.4500,26.9900,27.3800,11183
2023-11-21,27.3400,27.3400,27.0100,27.1800,8392
2023-11-22,27.5000,27.5500,27.1800,27.3100,18217
2023-11-24,27.0500,27.0500,26.7800,26.9500,9851
2023-11-27,26.8200,27.0210,26.7400,26.8800,9916
2023-11-28,26.9100,27.1654,26.9100,27.0400,3260
2023-11-29,27.1800,27.3400,26.6500,26.7550,14305
2023-11-30,26.8000,26.9100,26.4810,26.8900,14785
2023-12-01,26.8700,27.1900,26.7090,27.1900,16984
2023-12-04,26.8472,26.8472,26.3300,26.7400,5172
2023-12-05,26.8900,27.9100,26.8900,27.6900,15344
2023-12-06,27.9700,28.0190,27.3800,27.4122,14618
2023-12-07,27.8000,28.0689,27.7700,27.8400,15839
2023-12-08,27.8290,28.2410,27.7400,28.2000,12947
2023-12-11,27.6500,27.6500,27.1700,27.5900,10478
2023-12-12,27.5508,27.9000,27.4510,27.9000,10638
2023-12-13,28.1000,28.7200,28.0500,28.7200,9362
2023-12-14,28.7600,29.1500,28.3100,28.7700,18290
2023-12-15,28.7400,28.7587,28.4800,28.4800,10889
2023-12-18,28.3300,28.3400,27.9000,28.1700,17502
2023-12-19,28.3300,28.4500,28.2100,28.4500,22443
2023-12-20,28.3900,28.6000,27.9300,27.9300,16680
2023-12-21,28.0110,28.0110,27.6300,27.8800,15971
2023-12-22,27.9216,27.9301,27.4500,27.5500,6953
2023-12-26,27.4900,27.5600,27.3799,27.3900,14279
2023-12-27,22.9800,23.1899,22.7000,23.1400,55931
2023-12-28,23.3300,23.3899,23.1310,23.2100,30972
2023-12-29,23.2204,23.2204,22.8000,22.9700,21822
2024-01-02,21.8700,22.0500,21.1500,21.5200,111014
2024-01-03,21.2000,21.4101,21.1300,21.2300,41369
2024-01-04,20.7600,20.9500,20.5299,20.7400,54651
2024-01-05,20.7200,20.8544,20.4000,20.5700,25450
2024-01-08,20.7400,21.4300,20.6600,21.4000,55393
2024-01-09,21.0900,21.3300,20.9100,21.3300,19254
2024-01-10,21.1800,21.5700,21.1000,21.5400,25364
